cust_id,cust_name,start_ts,end_ts,create_ts,new_user_id,last_update_ts,last_update_user_id,client_id
CUST001,Cognizant,01-01-2024 08:00,01-01-2025 08:00,01-01-2024 07:50,admin,01-06-2024 10:20,user1,CL001
CUST002,Hcl Tech,15-05-2023 09:15,15-05-2025 09:15,01-05-2023 12:00,admin,01-06-2024 11:30,user2,CL002
CUST003,amazon,20-03-2024 10:00,20-03-2026 10:00,18-03-2024 09:45,user3,01-06-2024 12:15,user3,CL003
CUST004,Glen tech,01-06-2024 00:00,01-06-2025 00:00,28-05-2024 14:30,admin,02-06-2024 08:30,user4,CL004
CUST005,NextGen Inc,10-11-2023 14:00,10-11-2025 14:00,01-11-2023 10:00,user5,01-06-2024 10:00,user5,CL005
CUST006,Eagle Systems,01-01-2022 08:00,01-01-2023 08:00,20-12-2021 16:00,admin,01-06-2024 09:10,user6,CL006
CUST007,Green Fields,14-02-2024 06:00,14-02-2026 06:00,01-02-2024 07:00,user7,01-06-2024 08:00,user7,CL007
CUST008,wind Matrix,01-07-2023 10:00,01-07-2024 10:00,20-06-2023 15:30,admin,01-06-2024 12:00,user8,CL008
CUST009,Steel gate,01-04-2024 12:00,01-04-2025 12:00,25-03-2024 11:00,user9,01-06-2024 14:00,user9,CL009
CUST010,Aqua Tech,01-06-2024 09:00,01-06-2025 09:00,30-05-2024 08:00,user10,01-06-2024 15:00,user10,CL010
